City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Pochutla,MX,15.7432,-96.4661,91.22,58,90,6.38,overcast clouds
292,Labuhan,ID,-6.8844,112.2051,78.08,85,22,4.65,few clouds
293,Walvis Bay,NA,-22.9575,14.5053,76.08,31,0,2.82,clear sky
294,Marsa Matruh,EG,31.3525,27.2453,70.61,68,0,8.32,clear sky
295,Baghdad,IQ,33.3406,44.4009,85.91,21,0,15.73,clear sky
296,Vanimo,PG,-2.6741,141.3028,77.02,88,100,4.94,heavy intensity rain
297,Turbat,PK,26.0023,63.044,82.58,72,0,5.14,clear sky
298,Wajid,SO,3.8093,43.2471,80.1,56,94,20.6,overcast clouds
299,Baiyin,CN,36.5583,104.2081,52.68,53,74,7.31,broken clouds
300,Pevek,RU,69.7008,170.3133,47.1,70,41,13.58,scattered clouds
301,Anloga,GH,5.7947,0.8973,81.52,79,14,13.49,light rain
302,Alyangula,AU,-13.8483,136.4192,73.45,82,97,9.75,overcast clouds
303,Camacha,PT,33.0833,-16.3333,65.16,68,40,11.5,scattered clouds
304,Fort Nelson,CA,58.8053,-122.7002,45.43,84,100,9.91,overcast clouds
305,Dondo,MZ,-19.6094,34.7431,62.37,93,52,5.86,light rain
306,Beyneu,KZ,45.3167,55.2,66.88,49,1,9.4,clear sky
307,Yaring,TH,6.8662,101.3689,78.8,86,100,8.39,overcast clouds
308,Sayat,TM,38.7839,63.8803,91.27,17,5,10.45,clear sky
309,Samarai,PG,-10.6167,150.6667,78.19,88,100,15.64,overcast clouds
310,Chicama,PE,-7.8447,-79.1469,66.74,70,100,10.96,overcast clouds
311,Kismayo,SO,-0.3582,42.5454,77.81,82,39,15.39,light rain
312,Coquimbo,CL,-29.9533,-71.3436,56.93,82,90,7.54,overcast clouds
313,Iwaki,JP,37.05,140.8833,64.76,93,100,4.47,overcast clouds
314,Nefteyugansk,RU,61.0998,72.6035,44.85,60,62,7.81,broken clouds
315,Noumea,NC,-22.2763,166.4572,70.0,99,99,5.48,overcast clouds
316,Cockburn Town,TC,21.4612,-71.1419,80.15,80,5,20.92,clear sky
317,Road Town,VG,18.4167,-64.6167,84.29,74,40,12.66,scattered clouds
318,Mandalgovi,MN,45.7625,106.2708,46.78,79,7,21.0,clear sky
319,Novaya Malykla,RU,54.2,49.95,59.29,83,86,5.28,overcast clouds
320,Cullera,ES,39.1667,-0.25,71.19,78,0,1.01,clear sky
321,Klaksvik,FO,62.2266,-6.589,50.92,98,100,16.22,overcast clouds
322,Yelizovo,RU,53.1873,158.3805,42.94,100,90,0.0,light rain
323,Ternate,ID,0.8,127.4,80.29,78,99,2.26,overcast clouds
324,Malatya,TR,38.5,38.0,51.85,44,0,7.02,clear sky
325,Bambous Virieux,MU,-20.3428,57.7575,72.21,82,24,11.88,few clouds
326,Westport,US,41.1415,-73.3579,95.92,42,1,4.0,clear sky
327,Jalu,LY,29.0331,21.5482,80.92,19,0,6.78,clear sky
328,Poltavka,RU,54.3663,71.7632,58.86,45,1,3.67,clear sky
329,Dudinka,RU,69.4058,86.1778,30.22,97,100,6.13,overcast clouds
330,Matane,CA,48.8286,-67.522,57.63,56,100,3.27,overcast clouds
331,Jumla,NP,29.2747,82.1838,55.9,88,21,2.48,few clouds
332,Banda Aceh,ID,5.5577,95.3222,79.77,75,100,13.06,overcast clouds
333,Palmer,US,42.1584,-72.3287,94.28,36,75,1.01,broken clouds
334,Bagotville,AU,-28.9833,153.4167,47.64,94,4,5.28,clear sky
335,Kansanshi,ZM,-12.0951,26.4273,56.48,66,87,3.36,overcast clouds
336,Lopez Jaena,PH,10.8492,123.4278,77.9,77,100,4.92,overcast clouds
337,Kodinsk,RU,58.6881,99.1844,40.08,77,23,4.09,few clouds
338,Superior,US,46.7208,-92.1041,90.45,38,1,17.27,clear sky
339,Prykolotne,UA,50.1604,37.3474,54.68,92,4,5.68,clear sky
340,Evensk,RU,61.95,159.2333,43.14,89,100,9.48,light rain
341,Manggar,ID,-2.8833,108.2667,81.91,77,100,9.62,overcast clouds
342,Bonthe,SL,7.5264,-12.505,80.06,86,99,7.72,moderate rain
