City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
88,Dunedin,NZ,43.81,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
91,Iqaluit,CA,35.33,broken clouds,63.7506,-68.5145,Frobisher Inn
98,Kaitangata,NZ,43.88,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
110,Airai,TL,55.99,overcast clouds,-8.9266,125.4092,Juvinal Martin
113,Flinders,AU,53.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
122,Geraldton,AU,53.13,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
126,Esperance,AU,55.24,broken clouds,-33.8667,121.9,Hospitality Esperance
127,Berlevag,NO,42.8,clear sky,70.8578,29.0864,Kvitbrakka
128,Byron Bay,AU,51.87,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
137,Powell River,CA,55.4,overcast clouds,49.8496,-124.5361,Rodmay Hotel
144,Tuktoyaktuk,CA,35.04,few clouds,69.4541,-133.0374,End of The Road Ltd.
